order,seasonal_order,AIC,BIC
"(2, 0, 3)","(0, 0, 0, 0)",1424.1032203740228,1438.2806822091688
"(3, 0, 3)","(0, 0, 0, 0)",1424.2901919578367,1440.4930054837178
"(2, 0, 1)","(0, 0, 0, 0)",1425.3882084086595,1435.5149668623353
"(1, 0, 3)","(0, 0, 0, 0)",1425.4687067650027,1437.6208169094136
"(0, 0, 3)","(0, 0, 0, 0)",1425.8682154431058,1435.9949738967816
