order,MSE
"(1, 0, 3)",4241408633.2586966
"(3, 0, 2)",4246851203.59963
"(2, 0, 2)",4941903974.698864
"(0, 0, 1)",5101466385.234803
"(1, 0, 0)",5135408060.556147
