order,MSE
"(1, 1, 0)",1347301122.489447
"(0, 1, 1)",1357022394.4515014
"(0, 0, 0)",1396554498.2563777
"(1, 1, 1)",1497751741.6435003
"(1, 0, 0)",1554732030.6554494
