order,MSE
"(2, 1, 0)",205566968.45918152
"(1, 1, 0)",210350593.62614387
"(3, 1, 0)",219164329.6638872
"(2, 1, 1)",271342727.6279169
"(3, 1, 1)",274721560.97266996
