order,seasonal_order,MSE
"(0, 0, 0)","(0, 0, 0, 0)",35035223.372139394
"(0, 0, 0)","(0, 0, 0, 3)",35035223.372139394
"(0, 0, 0)","(0, 0, 0, 6)",35035223.372139394
"(0, 0, 0)","(0, 0, 0, 12)",35035223.372139394
"(0, 0, 1)","(0, 0, 0, 6)",42689379.75154935
