order,seasonal_order,MSE
"(0, 0, 6)","(1, 0, 0, 12)",18370876.783063516
"(0, 0, 5)","(1, 0, 0, 12)",18517207.04707587
"(0, 0, 4)","(1, 0, 1, 12)",18703207.776056167
"(0, 0, 5)","(1, 0, 1, 12)",18729882.26484929
"(0, 0, 6)","(1, 0, 1, 12)",18734212.72614258
