order,seasonal_order,MSE
"(2, 0, 1)","(1, 1, 1, 12)",1402928890.8327413
"(2, 0, 1)","(0, 1, 1, 12)",1404347994.3805974
"(1, 0, 2)","(1, 1, 1, 12)",1406621462.4026387
"(1, 1, 1)","(1, 1, 1, 12)",1406722154.2168105
"(1, 0, 2)","(0, 1, 1, 12)",1408191609.912679
