order,seasonal_order,MSE
"(1, 1, 0)","(0, 0, 1, 12)",15102503.373548828
"(1, 1, 0)","(1, 0, 0, 12)",15127312.742308663
"(1, 1, 0)","(0, 0, 0, 6)",15197297.31334623
"(1, 1, 0)","(0, 0, 0, 3)",15197297.31334623
"(1, 1, 0)","(0, 0, 0, 0)",15197297.31334623
