order,seasonal_order,MSE
"(3, 0, 2)","(1, 1, 1, 6)",5054344032.93797
"(5, 0, 5)","(1, 0, 1, 6)",5522362939.338376
"(4, 1, 4)","(0, 0, 0, 6)",5540140286.305351
"(4, 1, 4)","(0, 0, 0, 12)",5540140286.305351
"(4, 1, 4)","(0, 0, 0, 0)",5540140286.305351
