order,seasonal_order,MSE
"(0, 0, 3)","(0, 0, 1, 6)",367469776.18870777
"(0, 0, 0)","(0, 0, 1, 3)",383289013.5982093
"(1, 0, 0)","(1, 0, 0, 3)",400201009.6928901
"(0, 0, 2)","(1, 0, 0, 3)",417124566.4257125
"(2, 0, 0)","(0, 0, 1, 3)",425847346.63470745
