order,seasonal_order,MSE
"(0, 0, 0)","(0, 0, 0, 0)",2502152173.0642896
"(0, 0, 0)","(0, 0, 0, 3)",2502152173.0642896
"(0, 0, 0)","(0, 0, 0, 12)",2502152173.0642896
"(0, 0, 0)","(0, 0, 0, 6)",2502152173.0642896
"(1, 0, 2)","(1, 0, 0, 3)",2908870268.5509844
