order,seasonal_order,MSE
"(1, 1, 2)","(0, 1, 0, 3)",217364.85747432828
"(0, 1, 2)","(0, 1, 0, 3)",219556.52784199046
"(1, 1, 1)","(0, 1, 0, 3)",219860.86185710912
"(1, 0, 1)","(0, 1, 0, 3)",220463.83088617912
"(1, 0, 0)","(0, 1, 0, 3)",223071.39664247682
