order,MSE
"(0, 0, 1)",1552166.1717012355
"(0, 0, 3)",3407435.9721782682
"(0, 0, 0)",4241191.264196187
"(3, 1, 0)",4552837.582780468
"(1, 0, 1)",6522467.604288093
