Date,Tax Revenues
2026-04-01,202466.67809374785
2026-05-01,158610.22015795973
2026-06-01,158324.2817735664
2026-07-01,160308.0604128986
2026-08-01,139567.27440568578
2026-09-01,126343.64868685389
2026-10-01,140478.9302273988
2026-11-01,129529.38084995095
2026-12-01,129443.96697106565
2027-01-01,105787.59257812661
2027-02-01,128424.71327303218
2027-03-01,154876.9964103552
2027-04-01,146802.6685302526
