,Year,Month,,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP
18-Mar,2018,March,1/3/2018,4.3,,3959977.37,8364.28,6024.47,10.4,30.98,58.62,52.0676,4101138.00
18-Apr,2018,April,1/4/2018,4.3,,,9180.81,5481.97,,,,52.0986,
18-May,2018,May,1/5/2018,4.6,,,9972.39,6091.89,,,,52.1948,
18-Jun,2018,June,1/6/2018,5,,4437331.26,9469.46,5916.49,8.62,30.86,60.52,53.0476,4568792.00
18-Jul,2018,July,1/7/2018,5.8,,,9982.73,5966.51,,,,53.4329,
18-Aug,2018,August,1/8/2018,6.6,,,9814.79,6216.23,,,,53.2735,
18-Sep,2018,September,1/9/2018,6.9,,4142636.11,10076.42,6052.78,8.84,28.98,62.19,53.9419,4450213.00
18-Oct,2018,October,1/10/2018,6.9,,,10724.29,6308.84,,,,54.0086,
18-Nov,2018,November,1/11/2018,6.1,,,9710.64,5636.46,,,,52.8083,
18-Dec,2018,December,1/12/2018,5.2,108119693,4636033.35,8900.09,4729.85,10.72,31.34,57.94,52.7691,5145048.00
19-Jan,2019,January,1/1/2019,4.4,,,9565.31,5293.1,,,,52.4679,
19-Feb,2019,February,1/2/2019,3.8,,,7984.95,5251.62,,,,52.1901,
19-Mar,2019,March,1/3/2019,3.4,,4215576.48,9365.8,6030.8,9.88,30.73,59.39,52.4134,4426077.00
19-Apr,2019,April,1/4/2019,3.2,,,9451.19,5652.23,,,,52.1122,
19-May,2019,May,1/5/2019,3.2,,,9848.9,6199.69,,,,52.262,
19-Jun,2019,June,1/6/2019,2.7,,4720383.97,8785.68,6149.83,8.22,30.27,61.51,51.8029,4865973.00
19-Jul,2019,July,1/7/2019,2.2,,,9893.35,6252.11,,,,51.1429,
19-Aug,2019,August,1/8/2019,1.4,,,9307.45,6302.58,,,,52.0547,
19-Sep,2019,September,1/9/2019,0.5,,4397241.33,9488.56,6079.81,8.56,28.9,62.54,52.1052,4725892.00
19-Oct,2019,October,1/10/2019,0.6,,,9914.28,6341.73,,,,51.5042,
19-Nov,2019,November,1/11/2019,1.2,,,9275.21,5622.87,,,,50.7268,
19-Dec,2019,December,1/12/2019,2.4,109465287,4931988.49,8712.41,5750.62,10.14,31.49,58.37,50.7671,5499920.00
20-Jan,2020,January,1/1/2020,3,,,9556.69,5801.89,,,,50.8386,
20-Feb,2020,February,1/2/2020,2.5,,,7400.35,5432.17,,,,50.7448,
20-Mar,2020,March,1/3/2020,2.2,,4463185.92,7804.99,5079.05,9.92,30.19,59.89,50.9036,4449141.00
20-Apr,2020,April,1/4/2020,1.8,,,3507.07,3319.97,,,,50.7349,
20-May,2020,May,1/5/2020,1.6,,,5855.19,4541.51,,,,50.5556,
20-Jun,2020,June,1/6/2020,2.3,,4985924.38,6955.79,5531.67,10.04,28.52,61.44,50.0972,4138373.00
20-Jul,2020,July,1/7/2020,2.4,,,7833.6,5698.73,,,,49.4675,
20-Aug,2020,August,1/8/2020,2.2,,,7679.4,5499.62,,,,48.8433,
20-Sep,2020,September,1/9/2020,2.2,,4675544.21,8552.49,6286.06,9.79,26.95,63.26,48.5057,4205108.00
20-Oct,2020,October,1/10/2020,2.3,,,8335.45,6287.05,,,,48.4822,
20-Nov,2020,November,1/11/2020,3,,,8026.77,5882.74,,,,48.2521,
20-Dec,2020,December,1/12/2020,3.3,110804683,5258096.11,8303.75,5854.06,10.77,30.69,58.54,48.0637,5158953.00
21-Jan,2021,January,1/1/2021,3.7,,,8424.81,5549.4,,,,48.0614,
21-Feb,2021,February,1/2/2021,4.2,,,8064.45,5358.48,,,,48.2042,
21-Mar,2021,March,1/3/2021,4.1,,4433805.49,9533.14,6779.04,10.17,30.07,59.76,48.5743,4374072.00
21-Apr,2021,April,1/4/2021,4.1,,,8878.68,5784.51,,,,48.462,
21-May,2021,May,1/5/2021,4.1,,,9121.64,5943.04,,,,47.9552,
21-Jun,2021,June,1/6/2021,3.7,,4142943.37,9906.89,6578.17,8.96,30.87,60.17,48.1247,4767989.00
21-Jul,2021,July,1/7/2021,3.7,,,9991.04,6487.15,,,,49.943,
21-Aug,2021,August,1/8/2021,4.4,,,9850.62,6541.29,,,,50.2343,
21-Sep,2021,September,1/9/2021,4.2,,4135498.81,10499.42,6691.76,8.99,27.36,63.65,50.1421,4604095.00
21-Oct,2021,October,1/10/2021,4,,,10234.67,6420.43,,,,50.7491,
21-Nov,2021,November,1/11/2021,3.7,,,10984.18,6278.24,,,,50.3571,
21-Dec,2021,December,1/12/2021,3.1,112081264,4825595.62,11395.68,6281.6,10.13,31.22,58.66,50.2478,5664458.00
22-Jan,2022,January,1/1/2022,3,,,10559.01,6082.16,,,,51.2353,
22-Feb,2022,February,1/2/2022,3,,,10185.73,6249.09,,,,51.2807,
22-Mar,2022,March,1/3/2022,4,,4266797.02,11768.49,7305.01,9.43,30.61,59.96,52.074,4928798.00
22-Apr,2022,April,1/4/2022,4.9,,,11462.84,6167.58,,,,51.976,
22-May,2022,May,1/5/2022,5.4,,,11879.48,6355.77,,,,52.3618,
22-Jun,2022,June,1/6/2022,6.1,,4641824.63,12521.68,6741.31,8.35,30.51,61.13,53.5685,5398104.00
22-Jul,2022,July,1/7/2022,6.4,,,12215,6240.31,,,,55.8925,
22-Aug,2022,August,1/8/2022,6.3,,,12455.33,6461.89,,,,55.7501,
22-Sep,2022,September,1/9/2022,6.9,,4426630.15,12011.51,7249.23,8.53,26.87,64.61,57.4338,5249946.00
22-Oct,2022,October,1/10/2022,7.7,,,11024.21,7745.59,,,,58.8247,
22-Nov,2022,November,1/11/2022,8,,,10817.61,7165.6,,,,57.6523,
22-Dec,2022,December,1/12/2022,8.1,113100950,5204832.41,10320.21,5810.57,9.42,30.46,60.11,55.6839,6451429.00
23-Jan,2023,January,1/1/2023,8.7,,,10997.87,5441.87,,,,54.9913,
23-Feb,2023,February,1/2/2023,8.6,,,8983.78,5103.31,,,,54.7831,
23-Mar,2023,March,1/3/2023,7.6,,4611219.42,11631.81,6613.63,9.06,29.96,60.98,54.7956,5614956.00
23-Apr,2023,April,1/4/2023,6.6,,,9748.47,4916.14,,,,55.3155,
23-May,2023,May,1/5/2023,6.1,,,10932.62,6530.25,,,,55.7279,
23-Jun,2023,June,1/6/2023,5.4,,4990934.04,10667.01,6730.74,8.03,29.84,62.14,55.8946,5887040.00
23-Jul,2023,July,1/7/2023,4.7,,,10370.22,6245.73,,,,54.9211,
23-Aug,2023,August,1/8/2023,5.3,,,10834.74,6729.64,,,,56.1599,
23-Sep,2023,September,1/9/2023,6.1,,4767549.24,10320.24,6771.93,8.13,26.77,65.1,56.7869,5761125.00
23-Oct,2023,October,1/10/2023,4.9,,,10759.41,6518.43,,,,56.7889,
23-Nov,2023,November,1/11/2023,4.1,,,11000.53,6231.07,,,,55.8122,
23-Dec,2023,December,1/12/2023,3.9,113964338,5575901.99,9962.5,5784.38,9.05,29.8,61.15,55.5877,7050442.00
24-Jan,2024,January,1/1/2024,2.8,,,10340.59,5993.4,,,,55.9723,
24-Feb,2024,February,1/2/2024,3.4,,,9578.97,6015.84,,,,56.0649,
24-Mar,2024,March,1/3/2024,3.7,,4907012.67,9579.22,6225.25,8.6,29.76,61.64,55.8493,6119136.00
24-Apr,2024,April,1/4/2024,3.8,,,11030.93,6304.7,,,,56.9506,
24-May,2024,May,1/5/2024,3.9,,,11064.76,6334.84,,,,57.7619,
24-Jun,2024,June,1/6/2024,3.7,,5203455.44,9904.2,5568.59,7.37,30.25,62.38,58.6963,6494774.00
24-Jul,2024,July,1/7/2024,4.4,,,11129.79,6251.6,,,,58.4845,
24-Aug,2024,August,1/8/2024,3.3,,,11148.73,6753.4,,,,57.1935,
24-Sep,2024,September,1/9/2024,1.9,,5051395.98,11362.26,6259.74,7.51,26.72,65.77,56.0713,6254621.00
24-Oct,2024,October,1/10/2024,2.3,,,12005.74,6191.05,,,,57.3009,
24-Nov,2024,November,1/11/2024,2.5,,,10632.93,5697.41,,,,58.6947,
24-Dec,2024,December,1/12/2024,2.9,114891199,5884528.49,9818.51,5672.89,8.46,29.58,61.97,58.448,7577838.00
25-Jan,2025,January,1/1/2025,2.9,,,11497.73,6571.45,,,,,
25-Feb,2025,February,1/2/2025,2.1,,,9761.28,6787.09,,,,,
25-Mar,2025,March,1/3/2025,1.8,,5195588.2,11280.45,6767.76,8.34,29.53,62.12,,6582087.00
25-Apr,2025,April,1/4/2025,1.4,,,10755.11,6782.51,,,,,
25-May,2025,May,1/5/2025,1.3,,,10946.76,7314.57,,,,,
25-Jun,2025,June,1/6/2025,1.4,,5539082.71,11460.54,7064.26,7.47,29.28,63.25,,6965235.00
25-Jul,2025,July,1/7/2025,0.9,,,11772.51,7349.57,,,,,
25-Aug,2025,August,1/8/2025,1.5,,,11112.23,7126.04,,,,,
25-Sep,2025,September,1/9/2025,1.7,,5316054.33,11944.28,7274.67,7.43,25.87,66.7,,6557979.00
25-Oct,2025,October,1/10/2025,1.7,,,11641.73,7448.17,,,,,
25-Nov,2025,November,1/11/2025,1.5,,,10421.98,6908.34,,,,,
25-Dec,2025,December,1/12/2025,1.8,,,..,..,,,,,
