Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
12/1/93,7.4,65926125,1469653.32,1572.98,1004.05,19.35,30.86,49.79,27.7939,489381,43719.24882,27906.4653,2577.0299999999997,71625.71412,155667.9513219506,66250194.23925967,23600,20945,10514,10279,152,2655,771,772,0,0,748,364,0,0,0,0,27290,4119,5584,1261,415,594,298,15019,0,0,0,0,0
1/1/94,12.8,0,0,1650.56,951.62,0,0,0,27.7245,0,45760.95072,26383.18869,2602.18,72144.13941,161488.54291467206,66077917.45547218,26889,24549,17585,6823,141,2340,1652,508,0,0,177,3,0,0,0,0,26300,2675,8618,31,268,180,66,14462,0,0,0,0,0
2/1/94,13.9,0,0,1349.04,927.01,0,0,0,27.6463,0,37295.96455,25628.39656,2276.05,62924.36111,157754.58052557494,66038319.423609875,18770,14698,9349,5217,132,4072,1029,888,0,0,2149,6,0,0,0,0,21143,3277,6502,100,148,33,133,10950,0,0,0,0,0
3/1/94,13.4,0,1283261.21,1599.52,1057.67,18,32.07,49.93,27.5872,446077,44126.27814,29178.15382,2657.19,73304.43196,156677.89376817763,66002321.212825984,32472,21711,13698,7745,268,10761,1796,1051,0,0,7905,9,0,0,0,0,22732,5369,6301,2,50,28,609,10373,0,0,0,0,0
4/1/94,13.6,0,0,1775.99,965.79,0,0,0,27.5298,0,48892.6495,26588.00554,2741.7799999999997,75480.65504,152008.01446450155,65969922.82312047,37323,33029,25599,7231,199,4294,2422,1555,0,0,316,1,0,0,0,0,22380,3368,5316,395,511,3636,-3490,12644,0,0,0,0,0
5/1/94,13.5,0,0,1810.36,1083.86,0,0,0,27.053,0,48975.66908,29321.66458,2894.22,78297.33366,149761.68674142932,65941124.25449334,25342,21041,15144,5701,196,4301,2863,1424,0,0,9,5,0,0,0,0,28072,5377,8843,201,1453,1555,-1368,12011,0,0,0,0,0
6/1/94,13,0,1291695.47,2041.89,1125.27,16.36,31.89,51.75,26.9756,462046,55081.20788,30354.83341,3167.16,85436.04129,162592.74674657147,65915925.51,22141,19243,11905,7159,179,2898,1364,1538,0,0,-10,6,0,0,0,0,30251,3306,7057,753,1357,131,61,17586,0,0,0,0,0
7/1/94,12.6,0,0,1768.46,1217.56,0,0,0,26.4608,0,46794.86637,32217.61165,2986.02,79012.47802000001,152616.48866088522,65894326.580474265,25102,22541,17356,5016,169,2561,1702,656,0,0,211,-8,0,0,0,0,29015,3394,5559,194,324,732,212,18600,0,0,0,0,0
8/1/94,12.5,0,0,1728.14,1178.01,0,0,0,26.3132,0,45472.89345,30997.21273,2906.15,76470.10618,152705.6549134409,65876327.47508228,26403,22378,16317,5758,303,4025,2583,806,0,0,622,14,0,0,0,0,26975,3200,8694,293,909,309,349,13221,0,0,0,0,0
9/1/94,11.7,0,1270449.96,1967.95,1239.74,14.43,34.19,51.38,25.9113,469787,50992.14284,32123.27506,3207.69,83115.4179,165557.3359125698,65861928.19076873,23929,17157,11735,5231,191,6772,1034,815,0,0,4918,5,0,0,0,0,25827,5234,5563,605,465,210,594,13156,0,0,0,0,0
