Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
1/1/99,10.7,0,0,2399.85,2580.78,0,0,0,38.4043,0,92164.55936,99113.04935,4980.63,191277.6087,287490.84995340207,74078576.08323343,43400,40566,35100,5353,113,2834,1721,1097,11,0,0,5,0,0,0,0,45259,14053,6245,0,356,0,-341,24946,0,0,0,0,0
2/1/99,9.3,0,0,2256.56,2569.33,0,0,0,38.7799,0,87509.17114,99638.36047,4825.889999999999,187147.5316,283003.5980821289,74034289.27891156,27614,24635,18874,5486,275,2979,1402,1529,17,0,0,31,0,0,0,0,35561,6628,7200,0,108,0,115,21510,0,0,0,0,0
3/1/99,7.9,0,1567553.34,2656.3,2702.33,16.49,30.51,53,38.9108,767405,103358.758,105149.8222,5358.63,208508.5802,259035.40850252315,73994028.54770991,34108,28465,21994,6100,371,5643,1797,3823,17,0,0,6,0,0,0,0,57765,5636,12242,0,291,10,5895,33691,0,0,0,0,0
4/1/99,7.4,0,0,2599.21,2345.95,0,0,0,38.2417,0,99398.20906,89713.11612,4945.16,189111.3252,251663.69363132952,73957793.88962841,58998,56525,50000,6145,380,2473,1683,728,15,0,0,47,0,0,0,0,47558,7476,9554,560,1236,128,-236,28840,0,0,0,0,0
5/1/99,6.1,0,0,2533.48,2746.9,0,0,0,37.8385,0,95863.08298,103938.5757,5280.38,199801.6587,259939.31474779468,73925585.30466715,36892,33857,25767,7738,352,3035,806,2229,0,0,0,0,0,0,0,0,60185,10267,6835,1392,1060,480,-191,40342,0,0,0,0,0
6/1/99,5.3,0,1580092.87,2670.94,2857.2,14.55,30.8,54.65,37.8993,810836,101226.7563,108285.88,5528.139999999999,209512.6363,284553.6399704532,73897402.79282597,43729,31906,24238,7282,386,11823,7520,920,31,0,3352,0,0,0,0,0,50877,7808,8677,650,304,620,1219,31599,0,0,0,0,0
7/1/99,5.1,0,0,2791.64,2851.06,0,0,0,38.2798,0,106863.4209,109138.0066,5642.7,216001.4275,276107.95358199626,73873246.35,43676,39881,31760,7480,641,3795,2190,1581,24,0,0,0,0,0,0,0,51745,9196,6963,99,629,243,1678,32937,0,0,0,0,0
8/1/99,4.8,0,0,2661.46,3211.54,0,0,0,39.261,0,104491.5811,126088.2719,5873,230579.853,273248.6628410468,73853115.99,36621,33371,25980,7101,290,3250,2128,1112,0,0,0,10,0,0,0,0,48045,5670,8226,2,385,10,115,33637,0,0,0,0,0
9/1/99,4.9,0,1579892.32,2555.3,3693.28,13.7,33.07,53.24,40.1738,825523,102656.1111,148373.0921,6248.58,251029.2032,285037.8397633859,73837011.69602343,32338,29274,21888,6976,410,3064,2310,745,6,0,0,3,0,0,0,0,47919,7926,12215,58,188,0,464,27068,0,0,0,0,0
10/1/99,5.1,0,0,2612.62,3459.67,0,0,0,40.315,0,105327.7753,139476.5961,6072.29,244804.3714,276602.8152946107,73824933.47666304,40995,38411,30353,7773,285,2584,852,1718,12,0,0,2,0,0,0,0,50261,7774,11993,1,1020,20,-70,29523,0,0,0,0,0
11/1/99,3.9,0,0,2351.64,3075.37,0,0,0,40.3409,0,94867.27408,124063.1936,5427.01,218930.4677,268202.28806992224,73816881.33042265,34479,32773,24957,7667,149,1706,1479,223,0,0,0,4,0,0,0,0,47830,7562,6283,27,501,0,169,33288,0,0,0,0,0
12/1/99,3.9,75791024,1747866.75,2653.47,2943.51,16.66,30.83,52.51,40.6232,943824,107792.4425,119574.7954,5596.98,227367.2379,321935.8917340673,76193376.93149878,45652,42022,30408,11396,218,3630,2292,316,7,0,831,184,0,0,0,0,47155,6405,9857,3429,687,21,-5624,32380,0,0,0,0,0
1/1/00,5.5,0,0,2900.85,2716.57,0,0,0,40.4266,0,117271.5026,109821.6888,5617.42,227093.1914,317082.1826995746,75979484.45261037,44114,42682,35867,6466,349,1432,1254,172,6,0,0,0,0,0,0,0,44228,7506,9158,0,282,0,496,26786,0,0,0,0,1
2/1/00,5.6,0,0,2775.14,2902.31,0,0,0,40.5717,0,112592.1475,117751.6506,5677.45,230343.7981,315180.7230903704,75930320.85627726,31068,29218,22378,6452,388,1850,1207,355,0,0,0,288,0,0,0,0,39986,9492,6023,888,259,0,-123,23447,0,0,0,0,0
3/1/00,5.9,0,1581132.24,2908.07,2988.52,15.88,31.69,52.43,40.9381,850396,119050.8605,122344.3306,5896.59,241395.1911,280534.3349325976,75885626.67779274,39351,31509,23860,7249,400,7842,3976,3589,0,0,0,277,0,0,0,0,52632,8176,10442,0,264,0,452,33298,0,0,0,0,0
4/1/00,6.2,0,0,2728.17,2667.59,0,0,0,41.1884,0,112368.9572,109873.764,5395.76,222242.7212,278697.8598824872,75845401.91715652,58060,53546,45563,7688,295,4514,1756,1722,0,0,1010,26,0,0,0,0,49030,6504,12849,900,158,0,-192,28811,0,0,0,0,0
5/1/00,6.5,0,0,2641.93,2930.83,0,0,0,41.8063,0,110449.3182,122527.1582,5572.76,232976.4764,287294.1600474296,75809646.57436873,40515,37752,29036,8288,428,2763,1829,886,0,0,30,18,0,0,0,0,61343,13382,9625,963,374,0,428,36571,0,0,0,0,0
6/1/00,6.1,0,1634431.66,2730.33,3410.27,14.74,31.56,53.7,42.6489,904732,116445.5711,145444.2642,6140.6,261889.8353,325848.8980825689,75778360.64942954,37249,33406,24365,8564,477,3843,1761,1720,0,0,345,17,0,0,0,0,50832,8369,10415,0,1757,0,365,29926,0,0,0,0,0
7/1/00,6.5,0,0,2855.65,3219.4,0,0,0,44.3557,0,126664.3547,142798.7406,6075.05,269463.0953,309763.0885711471,75751544.14,45886,41171,32570,8220,381,4715,2428,1758,0,0,500,29,0,0,0,0,57901,10213,11685,165,507,0,416,34915,0,0,0,0,0
8/1/00,6.8,0,0,2842.45,3529.46,0,0,0,44.8977,0,127619.4674,158464.6362,6371.91,286084.10360000003,303756.05443283095,75729197.05,45577,40146,31197,8620,329,5431,2188,3107,0,0,0,136,0,0,0,0,55655,9890,8820,203,1007,0,-44,35779,0,0,0,0,0
9/1/00,6.5,0,1639984.85,3294.23,3502.01,13.44,33.41,53.15,45.7367,913644,150667.2092,160170.3808,6796.24,310837.59,311214.27742095967,75711319.38,34639,28238,20424,7514,300,6401,4714,1620,0,0,0,67,0,0,0,0,47835,1139,17711,0,626,0,76,28283,0,0,0,0,0
10/1/00,6.9,0,0,3276.14,3398.14,0,0,0,48.1061,0,157602.3185,163471.2627,6674.28,321073.5812,308591.7960544421,75697911.13,46802,43250,34126,8821,303,3552,1398,1494,0,0,456,204,0,0,0,0,59360,8343,17691,0,515,0,234,32577,0,0,0,0,0
11/1/00,7.8,0,0,2919.8,3316.78,0,0,0,49.7537,0,145270.8533,165022.0771,6236.58,310292.93039999995,301739.7565530838,75688972.29246019,41246,35954,28005,7616,333,5292,2149,1043,0,0,2030,70,0,0,0,0,60143,6888,13454,95,1984,0,426,37296,0,0,0,0,0
12/1/00,8.7,77753257,1836552.8,2618.1,3496.37,16.74,31.3,51.96,49.8962,1028784,130633.2412,174455.5768,6114.469999999999,305088.818,343755.8169456572,78166228.21844915,50255,43162,33411,9508,243,7093,6104,470,0,0,275,244,0,0,0,0,70029,9914,13021,372,1331,536,100,44755,0,0,0,0,0
1/1/01,5.8,0,0,3031.16,2889,0,0,0,50.9693,0,154496.1034,147250.3077,5920.16,301746.4111,343024.60410470766,77946691.01439627,49856,46062,39294,6414,354,3794,1611,1583,0,0,0,600,0,0,0,0,56242,8637,15075,0,144,0,555,31831,0,0,0,0,0
2/1/01,5.8,0,0,2482.11,2805.47,0,0,0,48.2897,0,119860.3473,135475.3047,5287.58,255335.652,333947.4307197519,77896229.96716242,30291,26772,20360,6079,333,3519,1146,2288,0,0,0,85,0,0,0,0,42888,8776,9572,0,362,0,214,23964,0,0,0,0,1
3/1/01,5.8,0,1653296.01,3037.4,2869.64,15.83,31.24,52.92,48.4673,925936,147214.577,139083.7028,5907.04,286298.2798,308409.32012376195,77850356.28785896,41067,34110,25458,8107,545,6957,3850,2872,0,0,222,13,0,0,0,0,60009,9262,18513,116,844,34,2067,29173,0,0,0,0,0
4/1/01,5.5,0,0,3105.06,2245.69,0,0,0,50.1854,0,155828.6781,112700.8509,5350.75,268529.529,305287.8859705274,77809069.97648594,66165,62076,53592,8125,359,4089,2371,1667,0,0,0,51,0,0,0,0,56319,16173,16290,0,512,0,189,23155,0,0,0,0,0
5/1/01,5.5,0,0,2939.86,2599.97,0,0,0,50.5389,0,148577.2906,131399.6238,5539.83,279976.9144,312130.9343,77772371.03,42367,38102,28439,9255,408,4265,2369,1577,0,0,260,59,0,0,0,0,72614,4580,9780,167,2119,0,394,55574,0,0,0,0,0
6/1/01,5.9,0,1729789.41,2856.88,2578.16,14.93,31.19,53.87,51.4881,990210,147095.3231,132744.5599,5435.04,279839.88300000003,338837.014,77740259.46,36953,32304,23934,7919,451,4649,3330,998,0,0,0,321,0,0,0,0,56449,9424,13850,1870,2001,300,115,28889,0,0,0,0,0
7/1/01,6,0,0,2873.16,2594.45,0,0,0,53.2242,0,152921.6425,138087.5257,5467.61,291009.16819999996,335304.00050491584,77712735.24994871,53983,48107,38599,9098,410,5876,5483,335,0,0,27,31,0,0,0,0,58747,9259,15406,10,285,15,373,33399,0,0,0,0,0
8/1/01,5.7,0,0,2893.64,2620.76,0,0,0,51.9877,0,150433.6882,136247.2847,5514.4,286680.9729,328243.39901061595,77689798.41029698,44882,37823,28558,8786,479,7059,4626,2134,0,0,273,26,0,0,0,0,61823,10776,12945,290,664,135,1423,35590,0,0,0,0,0
9/1/01,5.7,0,1709412.9,2752,2731.02,13.57,32.76,53.67,51.2499,996766,141039.7248,139964.5019,5483.02,281004.2267,325063.7044279315,77671448.94,40418,33636,24662,8489,485,6782,4944,1237,0,0,61,540,0,0,0,0,63043,10894,20208,1,607,0,-1309,32642,0,0,0,0,0
10/1/01,5.2,0,0,2540.95,2940.77,0,0,0,51.7333,0,131451.7286,152135.7366,5481.719999999999,283587.4652,331320.8763438762,77657686.83478467,52936,46746,37307,8708,731,6190,3249,2670,0,0,30,241,0,0,0,0,64103,10381,17854,185,873,0,358,34452,0,0,0,0,0
11/1/01,4.2,0,0,2216.8,2629.79,0,0,0,51.9899,0,115251.2103,136722.5191,4846.59,251973.7294,325731.6315526648,77648512.1,49985,42500,34719,7543,238,7485,2807,4678,0,0,0,0,0,0,0,0,61294,10581,13181,103,361,0,-299,37367,0,0,0,0,0
12/1/01,3.7,79625397,1892884.91,2328.14,2645.47,16.93,30.65,52.43,51.7889,1111487,120571.8096,137005.9813,4973.61,257577.7909,377204.26258550806,80011705.35909028,54829,41621,33757,7709,155,13208,10627,2257,0,0,300,24,0,0,0,0,57224,9436,12160,1007,593,0,-136,34164,0,0,0,0,0
1/1/02,3.3,0,0,2225.79,2631.44,0,0,0,51.4097,0,114427.1962,135281.541,4857.23,249708.7372,371690.1610322017,79806342.24110968,47300,42342,35037,6893,412,4958,2176,2778,0,0,4,0,0,0,0,0,62279,11807,15045,0,151,0,500,34776,0,0,0,0,0
2/1/02,2.9,0,0,2543.97,2627.87,0,0,0,51.2817,0,130459.1063,134761.641,5171.84,265220.7473,373859.24595118815,79759139.13473326,37899,32087,24852,6826,409,5812,1769,3964,0,0,41,38,0,0,0,0,58861,11383,12203,6149,864,0,248,28014,0,0,0,0,0
3/1/02,3.3,0,1693208.84,3435.73,2849.06,15.95,31.3,52.75,51.0661,1006579,175449.3318,145490.3829,6284.79,320939.7147,348616.9004446616,79716227.21984552,39921,34085,26734,6982,369,5836,4158,1666,0,0,10,2,0,0,0,0,65188,11789,14460,20,524,0,495,37900,0,0,0,0,0
4/1/02,3.4,0,0,3881.24,2748.8,0,0,0,50.9872,0,197893.5601,140153.6154,6630.04,338047.1755,341696.4944980508,79677606.49644664,55607,51283,42484,8375,424,4324,2129,2072,0,0,63,60,0,0,0,0,77363,12410,17566,383,2032,540,1038,43394,0,0,0,0,0
5/1/02,3.2,0,0,3302.52,2918.06,0,0,0,49.8383,0,164591.9825,145431.1497,6220.58,310023.1322,329515.8519950856,79643276.96453647,43116,39170,30887,7701,582,3946,2422,1348,0,121,22,33,0,0,0,0,67692,11449,13045,1867,1285,45,752,39249,0,0,0,0,0
6/1/02,2.6,0,1786322.12,3353.37,2936.41,14.42,31.7,53.88,50.4065,1073992,169031.6449,148014.1507,6289.78,317045.7956,355842.3192555383,79613238.62411515,42679,36753,28711,7624,418,5926,3804,1940,0,48,95,39,0,0,0,0,54857,12453,9324,408,442,0,534,31696,0,0,0,0,0
7/1/02,2.5,0,0,3520.29,3222.74,0,0,0,50.5963,0,178113.6489,163058.7199,6743.03,341172.3688,362309.82071090455,79587491.47518265,46570,38628,30248,7864,516,7942,5523,2276,0,4,1,138,0,0,0,0,58697,11142,15994,476,837,100,41,30107,0,0,0,0,0
8/1/02,2.7,0,0,3857.01,3032.17,0,0,0,51.7931,0,199766.5046,157045.484,6889.18,356811.9886,360289.94429311634,79566035.51773879,50274,43801,34176,9212,413,6473,5263,1048,0,66,8,88,0,0,0,0,62462,11381,14406,106,148,250,-455,36626,0,0,0,0,0
9/1/02,2.5,0,1762583.28,3536.52,3191.39,13.53,32.33,54.14,52.1292,1059697,184355.9584,166364.6076,6727.91,350720.566,348095.5042263949,79548870.75178373,46266,41103,32365,8107,631,5163,4510,468,0,43,42,100,0,0,0,0,68706,11982,24693,671,144,0,191,31025,0,0,0,0,1
10/1/02,2.3,0,0,3247.17,3033.18,0,0,0,52.907,0,171798.0232,160476.4543,6280.35,332274.47750000004,349425.1041111583,79535997.17731741,43553,39161,30465,8233,463,4392,2214,1813,0,193,0,172,0,0,0,0,64647,12100,18472,76,151,500,1250,32098,0,0,0,0,0
11/1/02,2.1,0,0,3436.5,3103.28,0,0,0,53.3082,0,183193.6293,165430.2709,6539.780000000001,348623.90020000003,357284.02695910016,79527414.79433984,53446,49197,40824,8215,158,4249,2836,1180,0,76,101,56,0,0,0,0,66433,11298,15484,399,351,0,472,38429,0,0,0,0,0
12/1/02,2.1,81401488,1956269.5,2896.4,2913.75,17.24,30.49,52.27,53.5195,1210291,155013.8798,155942.4431,5810.15,310956.3229,405878.79294721666,81769426.69104786,60510,48762,37766,10218,778,11748,10390,736,0,92,204,326,0,0,0,0,70697,11346,15169,710,655,51,-2440,45206,0,0,0,0,0
1/1/03,1.7,0,0,3142.49,2732.85,0,0,0,53.5635,0,168322.7631,146381.011,5875.34,314703.77410000004,405701.5371828608,81573828.96440998,50742,44211,34173,9616,422,6531,4882,1491.973,0,100.027,8,49,0,0,0,0,64690,11541,19141,184,2173,0,363,31288,0,0,0,0,0
2/1/03,2.3,0,0,3021.44,2787.82,0,0,0,54.0748,0,163383.7637,150750.8089,5809.26,314134.5726,403331.26899881463,81528870.45195523,40466,35628,27092,8096,440,4838,2584,1959.478,0,175.522,24,95,0,0,0,0,58160,11307,15512,9769,176,0,1160,20236,0,0,0,0,0
3/1/03,2.1,0,1758846.78,3694.22,3128.98,16.16,31.31,52.54,54.5909,1091333,201670.7946,170813.8343,6823.2,372484.6289,370718.6202146353,81487999.08,45089,38193,28656,9009,528,6896,6015,664.498,0,126.502,9,81,0,0,0,0,72326,11265,25514,359,553,0,-217,34852,0,0,0,0,0
4/1/03,2.2,0,0,3432.72,2726.21,0,0,0,52.8068,0,181270.9585,143962.4262,6158.93,325233.3847,359818.41030989506,81451214.83953334,65755,59837,50385,8813,639,5918,3698,2033.856,0,128.144,0,58,0,0,0,0,72339,12281,21943,190,89,159,632,37045,0,0,0,0,0
5/1/03,2.2,0,0,3609.65,2827.66,0,0,0,52.5072,0,189532.6145,148472.5092,6437.3099999999995,338005.1237,366942.3413369891,81418517.73956619,54689,45604,36868,8186,550,9085,4737,3701.539,0,102.461,46,498,0,0,0,0,64585,10815,17441,182,282,0,96,35769,0,0,0,0,0
6/1/03,2.8,0,1851704.77,3175.46,3060.47,14.12,31.81,54.06,53.3992,1147383,169567.0236,163426.6496,6235.93,332993.67319999996,389000.87101433496,81389907.77709487,48775,41877,32033,9314,530,6898,3427,3103.492,0,59.508,161,147,0,0,0,0,52992,11797,11569,265,396,0,759,28206,0,0,0,0,0
7/1/03,2.3,0,0,3491.62,3009.49,0,0,0,53.7138,0,187548.1784,161651.144,6501.11,349199.3224,387459.9866594148,81365384.95211962,51717,43511,33763,9155,593,8206,5070,2888.047,0,191.953,12,44,0,0,0,0,67536,11729,18537,138,584,0,75,36473,0,0,0,0,0
8/1/03,2.2,0,0,3360.19,3003.21,0,0,0,54.9914,0,184781.5524,165150.7224,6363.4,349932.2748,381971.4631955158,81344949.26464006,51123,46912,38436,7857,619,4211,2441,1540.773,0,141.227,8,80,0,0,0,0,69293,12538,15573,398,952,167,548,39117,0,0,0,0,0
9/1/03,2.2,0,1809766.98,3265.38,3353.95,13.44,32.54,54.02,55.0235,1152553,179672.6364,184546.0678,6619.33,364218.7042,384552.7765558149,81328600.71465641,48290,38448,29647,8266,535,9842,6814,2957.786,0,47.214,0,23,0,0,0,0,77428,15402,23954,177,841,167,1119,35768,0,0,0,0,0
10/1/03,2.3,0,0,3401.22,3339.92,0,0,0,54.952,0,186903.8414,183535.2838,6741.139999999999,370439.1252,386035.64067558985,81316339.30216888,56153,44962,35277,9141,544,11191,6889,4017.87,0,228.13,0,56,0,0,0,0,77324,12190,24548,175,7867,0,-1895,34439,0,0,0,0,0
11/1/03,2.4,0,0,3545.75,3085.49,0,0,0,55.3718,0,196334.5599,170849.1352,6631.24,367183.6951,383711.8455893503,81308165.02717716,56904,51595,42253,9033,309,5309,3502,1508.886,0,151.114,116,31,0,0,0,0,65234,11988,15737,276,202,130,589,36312,0,0,0,0,0
12/1/03,2.5,83068889,2045575.49,3330.38,3175.14,17.13,30.07,52.8,55.4451,1326540,184653.2521,176045.9548,6505.52,360699.2069,450280.3243208868,83412915.79019547,56927,46583,36769,9606,208,10344,6598,3503.474,0,23.526,183,36,0,0,0,0,84591,12649,16939,994,862,2000,2391,48756,0,0,0,0,0
1/1/04,3.1,0,0,3481.4,2849.37,0,0,0,55.5261,0,193308.5645,158214.4036,6330.77,351522.9681,444122.56487152446,83230029.72873533,53132,46705,36537,9581,587,6427,4057,1595,0,258.422,9,8,0,499.578,0,0,69249,11892,22953,0,197,0,4150,30057,0,0,0,0,0
2/1/04,2.9,0,0,3313.65,3004.81,0,0,0,56.0696,0,185795.03,168478.4948,6318.46,354273.5248,442733.0571133584,83187993.01689123,44612,38086,28833,8634,619,6526,4418,1590,0,86.606,19,5,0,407.394,0,0,63062,12618,17823,0,340,0,827,31454,0,0,0,0,0
3/1/04,3.1,0,1840078.74,3921.99,3361.75,16.01,30.87,53.11,56.3029,1223639,220819.4108,189276.2741,7283.74,410095.6849,416020.8839991401,83149777.82430589,54866,45365,33604,10980,781,9501,7657,1642,0,129.1,0,1,0,71.9,0,0,77146,12782,26039,302,888,0,-452,37587,0,0,0,0,0
4/1/04,3.2,0,0,3764.8,2982.49,0,0,0,55.9039,0,210467.0027,166732.8227,6747.29,377199.8254,406290.5030475337,83115384.15097919,75853,64308,53017,10576,715,11545,4721,1489,0,127.545,31,4,0,261.455,0,4911,83677,13330,25965,600,3706,0,-635,40711,0,0,0,0,0
5/1/04,3.6,0,0,3584,3267.55,0,0,0,55.8453,0,200149.5552,182477.31,6851.55,382626.8652,409468.7954278514,83084811.99691081,60332,52328,41259,10373,696,8004,3962,1414,0,138.655,58,1,0,1345.345,0,1085,73014,12334,16258,298,287,0,-3627,47464,0,0,0,0,0
6/1/04,4.1,0,1932975.62,3778.07,3317.93,13.72,31.05,55.23,55.9848,1306195,211514.4933,185753.6475,7096,397268.1408,447687.33996719896,83058061.36210105,54497,47135,35942,10424,769,7362,4441,1486,0,274.961,162,6,0,-127.961,0,1120,57264,12239,11972,145,141,8,454,32305,0,0,0,0,0
7/1/04,5.5,0,0,3760.77,3108.88,0,0,0,55.9527,0,210425.2356,173950.23,6869.65,384375.4656,437765.57815422275,83035132.24654992,59344,50013,38891,10430,692,9331,6571,1478,0,101.506,0,2,0,162.494,0,1016,78636,11829,28495,199,953,0,729,36431,0,0,0,0,0
8/1/04,5.7,0,0,3687.63,3430.06,0,0,0,55.8342,0,205895.8709,191514.6561,7117.6900000000005,397410.527,437514.4045027104,83016024.65025714,59757,53941,43128,10081,732,5816,3288,1361,0,135.798,0,8,0,1023.202,0,0,71427,11926,19463,231,52,21,955,38779,0,0,0,0,0
9/1/04,6.2,0,1909700.66,3816.87,3641.43,13.71,30.72,55.57,56.2132,1299857,214558.4767,204696.4329,7458.299999999999,419254.9096,439005.5754712564,83000738.57322316,54002,44028,32637,10697,694,9974,6560,1789,0,0,15,31,0,1579,0,0,84827,11865,30067,1882,391,0,6394,34228,0,0,0,0,0
10/1/04,6.3,0,0,4007.92,3753.43,0,0,0,56.3414,0,225811.8239,211473.501,7761.35,437285.3249,438297.1877144664,82989274.01544747,60576,50514,39307,10544,663,10062,6155,2223,0,46.168,45,2,0,868.832,0,722,66395,11789,27640,362,464,0,-5330,31470,0,0,0,0,0
11/1/04,6.8,0,0,3657.58,3685.41,0,0,0,56.3221,0,206002.5865,207570.0306,7342.99,413572.6171,428793.79712686234,82981630.97693038,60521,54439,43951,10233,255,6082,4210,1266,0,176.178,0,4,0,425.822,0,0,73015,12025,18488,277,192,9,760,41264,0,0,0,0,0
12/1/04,7.1,84731835,2162922.41,3264.51,3277.42,16.57,30.41,53.02,56.1828,1494213,183409.3124,184134.6324,6541.93,367543.9448,488293.8364899572,85081012.91701297,62276,51152,41071,9918,163,11124,8650,2241,0,106.521,81,2,0,43.479,0,0,89113,12895,15738,2654,6631,6,1451,49738,0,0,0,0,0
1/1/05,7.3,0,0,3501.4,3294.32,0,0,0,55.7662,0,195259.7727,183711.708,6795.72,378971.4807,498525.0723076557,84895388.5,64341,53262,42025,10567,670,11079,9003,1645,0,172.2,1,6,0,251.8,0,0,80843,11724,31702,0,191,0,1083,36143,0,0,0,0,0
2/1/05,7.3,0,0,3211.23,3000.16,0,0,0,54.8128,0,176016.5077,164447.17,6211.389999999999,340463.6777,492232.6606229702,84852722.36607425,48709,41612,31669,9216,727,7097,3742,2346,0,66.696,0,0,0,942.304,0,0,72260,12221,25061,0,146,0,547,34285,0,0,0,0,0
3/1/05,7.1,0,1972127.63,3832.01,3267.57,15.17,30.76,54.07,54.4402,1354481,208615.3908,177887.1643,7099.58,386502.5551,453695.1112763856,84813934.97588977,58264,48102,35985,11383,734,10162,6715,1512,0,156.452,45,8,0,1725.548,0,0,81677,11984,28760,343,153,0,2768,37669,0,0,0,0,0
4/1/05,7.2,0,0,4112.56,3245.7,0,0,0,54.4918,0,224100.797,176864.0353,7358.26,400964.8323,455376.49256653787,84779026.32472414,82784,76004,62935,12428,641,6780,4742,1583,0,226.855,29,11,0,188.145,0,0,79445,13907,26917,3921,479,0,-56,34277,0,0,0,0,0
5/1/05,7.3,0,0,3798,3304.99,0,0,0,54.3411,0,206387.4978,179596.7921,7102.99,385984.2899,448272.4020983619,84747996.41257654,68249,61768,48807,12237,724,6481,4296,1458,0,265.391,0,6,0,455.609,0,0,75879,13900,18954,155,907,50,-2492,44405,0,0,0,0,0
6/1/05,6.7,0,2077811.69,4210.26,3358.57,13.43,31.39,55.18,55.179,1456794,232317.9365,185322.534,7568.83,417640.47050000005,499968.3727,84720845.23944765,62036,52064,38581,12603,880,9972,7438,1634,0,205.396,32,5,0,657.604,0,0,61790,13982,11695,208,38,0,345,35522,0,0,0,0,0
7/1/05,6,0,0,3832.99,3503.07,0,0,0,56.0062,0,214671.2045,196193.639,7336.06,410864.8435,489185.9065666147,84697572.80533668,65951,52233,40773,10677,783,13718,7779,1409,0,296.713,88,18,0,4127.287,0,0,81012,12934,31167,225,1383,10,1097,34196,0,0,0,0,1
8/1/05,6.1,0,0,4238.87,3512.64,0,0,0,55.9523,0,237174.5259,196540.2871,7751.51,433714.813,489833.9027026897,84678179.11024469,79818,66830,53915,12098,817,12988,4397,1270,0,180.222,1998,5,0,5137.778,0,0,78067,13169,29282,1937,1434,70,604,31571,0,0,0,0,0
9/1/05,6,0,2029118.99,4337.2,3674.93,13.72,30.7,55.58,56.1562,1443454,243560.6706,206370.1041,8012.129999999999,449930.7747,486109.5268672507,84662664.15417124,59341,50914,38239,11910,765,8427,5855,1643,0,179.571,19,13,0,717.429,0,0,86998,14986,31750,2486,2949,60,-53,34820,0,0,0,0,0
10/1/05,6.2,0,0,4159.12,3634.53,0,0,0,55.7077,0,231695.0092,202471.3069,7793.65,434166.3161,480506.03182324365,84651027.94,71670,61972,47496,13627,849,9698,5973,2287,0,313.175,7,6,0,1111.825,0,0,78734,13051,31684,625,540,0,-3802,36636,0,0,0,0,0
11/1/05,6.2,0,0,3975.17,3631.01,0,0,0,54.5606,0,216887.6603,198110.0842,7606.18,414997.7445,477946.6034836072,84643270.45907861,72553,64882,50953,13642,287,7671,6081,1289,0,242.231,161,3,0,-105.231,0,0,79842,13943,19404,434,649,0,3583,41829,0,0,0,0,0
12/1/05,5.9,86394504,2282019.6,4209.38,3827.18,16.8,30.33,52.87,53.6118,1662553,225672.4387,205182.0087,8036.56,430854.4474,573883.1907915229,86742244.84489986,61993,55522,43705,11342,475,6471,4576,1159,0,136.461,50,7,0,542.539,0,0,85940,14749,13431,10116,3368,0,-1917,46193,0,0,0,0,0
1/1/06,5.9,0,0,3707.18,3532.75,0,0,0,52.6171,0,195061.0608,185883.06,7239.93,380944.1208,552123.9769037494,86557384.37663046,72633,63148,49498,12981,669,9485,5889,1876,0,307.643,0,5,0,1407.357,0,0,88078,13058,31894,0,1690,0,746,40690,0,0,0,0,0
2/1/06,6.5,0,0,3415.25,3448.3,0,0,0,51.8168,0,176967.3262,178679.8714,6863.55,355647.1976,550602.1345572972,86514893.84,64290,55002,41719,12588,695,9288,6668,1536,0,186.139,0,7,0,890.861,0,0,89248,13485,36805,0,899,0,730,37329,0,0,0,0,0
3/1/06,6.6,0,2071139.87,4226.6,4173.6,15.45,30.43,54.12,51.2189,1496799,216481.8027,213767.201,8400.2,430249.0037,516668.1446085824,86476266.08629301,68074,61279,43740,16731,808,6795,4787,1667,0,166.622,258,9,0,-92.622,0,0,95281,13370,35123,2171,1032,50,1305,42230,0,0,0,0,0
4/1/06,6.3,0,0,4416.68,3917.88,0,0,0,51.3597,0,226839.3598,201221.1414,8334.560000000001,428060.5012,504028.16467823216,86441501.10471952,95026,88372,71368,16324,680,6654,4835,1046,0,110.037,0,2,0,660.963,0,0,77384,13160,24680,711,1421,0,368,37044,0,0,0,0,0
5/1/06,6,0,0,4447.84,3885.12,0,0,0,52.1273,0,231853.89,202520.8158,8332.96,434374.7058,499600.4533344755,86410598.89887667,89732,80082,61698,17608,776,9650,4448,1355,0,407.639,25,20,0,3394.361,0,0,83921,12777,15743,315,1438,870,2533,50245,0,0,0,0,0
6/1/06,5.9,0,2195368.69,4534,4055.14,13.76,30.52,55.73,53.1567,1626437,241012.4778,215557.8604,8589.14,456570.3382,557223.6891,86383559.46876405,81298,69784,50368,18500,916,11514,9871,1229,0,513.901,139,3,0,-241.901,0,0,68645,12910,12317,6015,341,23,1754,35285,0,0,0,0,0
