Date,BIR
2026-04-01,169580.89685640397
2026-05-01,139967.64271041084
2026-06-01,142770.08625616916
2026-07-01,137498.6730894709
2026-08-01,112614.7430101942
2026-09-01,99866.70586654627
2026-10-01,109454.59647851666
2026-11-01,98792.19547656758
2026-12-01,97630.03471218282
2027-01-01,78486.42661023645
2027-02-01,94243.02068497271
2027-03-01,127006.94821937438
2027-04-01,113927.99132652904
