order,seasonal_order,MSE
"(6, 1, 5)","(0, 0, 1, 6)",2261825704.33158
"(5, 1, 6)","(1, 0, 0, 6)",2286434311.4248533
"(3, 0, 0)","(1, 1, 1, 6)",2307408713.6313753
"(2, 0, 5)","(0, 1, 1, 6)",2320897187.172009
"(5, 1, 6)","(0, 0, 1, 12)",2365444127.0947695
