order,MSE
"(3, 1, 0)",38412792.34930717
"(2, 1, 0)",39176353.559055224
"(0, 1, 1)",44322889.83862824
"(0, 0, 0)",44428276.75807812
"(1, 1, 0)",44432559.871282905
