order,seasonal_order,MSE
"(3, 0, 0)","(0, 1, 1, 6)",246346364.87668878
"(3, 0, 0)","(1, 0, 1, 6)",247267594.91346705
"(2, 1, 6)","(0, 1, 0, 6)",267516454.45007056
"(2, 1, 0)","(0, 1, 1, 6)",272053812.3771257
"(5, 0, 4)","(1, 0, 1, 6)",286133907.98451066
