order,seasonal_order,MSE
"(0, 0, 2)","(0, 0, 1, 3)",255937886.48970094
"(2, 0, 0)","(0, 0, 1, 3)",267034337.85214868
"(1, 0, 0)","(0, 0, 1, 3)",267638499.9187304
"(0, 0, 3)","(0, 0, 0, 0)",278404184.03068686
"(0, 0, 3)","(0, 0, 0, 6)",278404184.03068686
