order,seasonal_order,AIC,BIC
"(2, 0, 0)","(0, 0, 0, 0)",792.9476184990508,799.1690107450084
"(1, 0, 1)","(0, 0, 0, 0)",793.5642249696169,799.7856172155746
"(1, 0, 0)","(0, 0, 0, 0)",794.594460299893,799.2605044843611
"(2, 0, 1)","(0, 0, 0, 0)",794.6509621031305,802.4277024105776
"(0, 0, 2)","(0, 0, 0, 0)",794.7923462788324,801.01373852479
