order,MSE
"(3, 0, 1)",312088102.5787145
"(0, 0, 0)",313402385.1986452
"(3, 0, 2)",313800504.5247113
"(0, 0, 1)",316391353.5358282
"(2, 0, 3)",316790860.96411204
