order,seasonal_order,MSE
"(0, 0, 4)","(0, 0, 1, 6)",18214754.007698357
"(6, 0, 3)","(1, 1, 1, 12)",19002002.083970334
"(0, 0, 4)","(0, 0, 0, 0)",19312224.987875685
"(0, 0, 4)","(0, 0, 0, 3)",19312224.987875685
"(0, 0, 4)","(0, 0, 0, 12)",19312224.987875685
