order,seasonal_order,MSE
"(5, 0, 5)","(0, 1, 1, 6)",275296.72824630747
"(0, 0, 1)","(1, 0, 1, 3)",282773.6515753276
"(0, 0, 1)","(0, 1, 1, 3)",283780.508133427
"(0, 0, 0)","(1, 0, 0, 3)",283961.88104865036
"(1, 0, 1)","(0, 1, 1, 3)",285984.53761967825
