order,seasonal_order,MSE
"(0, 0, 0)","(1, 0, 0, 3)",197105.36861004186
"(0, 0, 0)","(0, 0, 1, 3)",201143.63413306366
"(0, 0, 0)","(0, 1, 1, 3)",226029.22640914228
"(0, 0, 1)","(1, 0, 0, 3)",226276.08647171632
"(0, 0, 3)","(1, 0, 0, 6)",227141.94532263168
