order,seasonal_order,MSE
"(0, 0, 0)","(0, 0, 1, 3)",148928.98507710872
"(0, 0, 0)","(0, 0, 1, 6)",157377.09900592052
"(0, 0, 0)","(1, 0, 0, 3)",160989.64851986893
"(0, 0, 1)","(1, 0, 0, 3)",161796.38820111673
"(0, 0, 3)","(1, 0, 0, 6)",165278.0406289942
