order,seasonal_order,MSE
"(6, 0, 1)","(0, 0, 1, 3)",7356.403351615058
"(2, 1, 0)","(1, 1, 0, 3)",24747.511708377475
"(6, 0, 2)","(0, 0, 0, 6)",37414.62831994727
"(6, 0, 2)","(0, 0, 0, 0)",37414.62831994727
"(6, 0, 2)","(0, 0, 0, 3)",37414.62831994727
