order,seasonal_order,MSE
"(0, 0, 6)","(1, 0, 1, 12)",808706466.2660481
"(3, 0, 0)","(0, 1, 1, 12)",810070909.3474182
"(0, 0, 6)","(0, 1, 1, 12)",817678884.5337288
"(3, 0, 0)","(1, 1, 1, 12)",830847852.6417229
"(3, 0, 0)","(1, 0, 1, 12)",834039224.82761
