order,seasonal_order,MSE
"(3, 0, 0)","(0, 1, 1, 6)",340256090.35060716
"(1, 0, 3)","(1, 0, 1, 6)",343388557.10981566
"(2, 1, 0)","(0, 1, 1, 6)",344411667.8887133
"(2, 0, 3)","(1, 0, 1, 6)",344623506.8730594
"(1, 0, 3)","(0, 1, 1, 6)",345143019.46812224
