order,seasonal_order,MSE
"(3, 0, 0)","(0, 1, 1, 12)",617852617.0330832
"(4, 0, 0)","(0, 1, 1, 12)",618890459.1912054
"(3, 0, 0)","(1, 1, 1, 12)",619792866.6425377
"(4, 0, 0)","(1, 1, 1, 12)",620897983.8695384
"(5, 0, 0)","(0, 1, 1, 12)",625519976.4075816
