order,MSE
"(1, 1, 0)",22234269.371966127
"(2, 1, 0)",24128779.239837438
"(3, 1, 0)",24190459.197202485
"(0, 1, 0)",25984102.11803731
"(0, 1, 1)",28564674.129408684
