order,seasonal_order,MSE
"(4, 1, 0)","(1, 0, 1, 6)",286401524.40704477
"(5, 1, 6)","(0, 1, 0, 6)",309325117.4087531
"(4, 1, 6)","(0, 1, 0, 6)",311491671.80002004
"(5, 0, 5)","(0, 1, 0, 6)",316408884.8622789
"(4, 0, 5)","(0, 1, 0, 6)",319223968.6256479
