order,MSE
"(1, 0, 3)",36252020.319019504
"(2, 0, 3)",37151729.27027382
"(3, 0, 1)",37259764.493923195
"(0, 0, 3)",37301083.88962719
"(3, 0, 2)",37626037.06910454
