order,seasonal_order,MSE
"(0, 0, 1)","(0, 0, 0, 12)",27499351.09922298
"(0, 0, 1)","(0, 0, 0, 0)",27499351.09922298
"(0, 0, 1)","(0, 0, 0, 3)",27499351.09922298
"(0, 0, 1)","(0, 0, 0, 6)",27499351.09922298
"(0, 0, 1)","(0, 0, 1, 6)",28794759.65113599
