order,seasonal_order,MSE
"(0, 0, 5)","(0, 0, 1, 12)",568377873.9526882
"(3, 0, 0)","(0, 0, 1, 12)",587224225.207017
"(0, 0, 2)","(1, 0, 0, 3)",587904005.0758176
"(2, 1, 0)","(0, 1, 1, 3)",591697780.1102431
"(2, 0, 0)","(1, 0, 0, 3)",599703640.4820039
