order,seasonal_order,AIC,BIC
"(3, 0, 2)","(0, 0, 0, 0)",1369.299553112623,1383.477014947769
"(3, 0, 0)","(0, 0, 0, 0)",1370.5266710319106,1380.6534294855865
"(3, 0, 3)","(0, 0, 0, 0)",1370.6731181932646,1386.8759317191457
"(3, 0, 1)","(0, 0, 0, 0)",1371.2457438171691,1383.39785396158
"(1, 0, 3)","(0, 0, 0, 0)",1377.0386526015789,1389.1907627459898
