order,MSE
"(0, 0, 1)",2207907966.1485615
"(1, 0, 0)",2252560670.5567813
"(0, 0, 0)",2265422754.6166396
"(1, 0, 1)",2338191274.4377046
"(0, 0, 3)",2690862395.37973
